--- EGoTouch Frame Export ---
Timestamp: 0

--- Contacts ---
Count,3
ID,X,Y,State,Area,SignalSum,SizeMm,Reported,ReportEvent,LifeFlags,ReportFlags,DebugFlags
1,40.1016,25.6211,0,7,9117,11.2704,1,4,1,1048584,1
2,44.7109,15.2188,0,7,9893,7.51353,1,2,2,1048584,2
3,42.6484,32.0547,0,6,9651,7.45176,1,2,2,1048584,2

--- Touch Packets (VHF 0x20) ---
Packet0Valid,1
Packet0Hex,01 03 01 08 28 2a 21 03 02 c8 17 7b 19 03 03 16 32 eb 1c 00 00 00 00 00 00 00 00 00 00 00 00 03
Packet1Valid,0
Packet1Hex,01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

--- Stylus ---
SlaveValid,0
SlaveWordOffset,0
Checksum16,0
ChecksumOK,0
Tx1BlockValid,0
Tx2BlockValid,0
MasterMetaValid,0
MasterMetaBaseWord,255
MasterMetaTx1Freq,0
MasterMetaTx2Freq,0
MasterMetaPressure,0
MasterMetaButton,0
MasterMetaStatus,0
Status,0
AsaMode,0
DataType,0
ProcessResult,5
ValidJudgmentPassed,0
RecheckEnabled,0
RecheckPassed,1
RecheckOverlap,0
RecheckThreshold,0
Hpp3NoiseInvalid,0
Hpp3NoiseDebounce,0
Hpp3Dim1SignalValid,0
Hpp3Dim2SignalValid,0
Hpp3RatioWarnCountX,0
Hpp3RatioWarnCountY,0
Hpp3SignalAvgX,0
Hpp3SignalAvgY,0
Hpp3SignalSampleCount,0
TouchNullLike,0
TouchSuppressActive,0
TouchSuppressFrames,0
SignalX,0
SignalY,0
MaxRawPeak,0
NoPressInkActive,0
Tx1Freq,161
Tx2Freq,24
NextTx1Freq,161
NextTx2Freq,24
Pressure,0
Button,0
RawButton,0
ButtonSource,0
PointValid,0
PointX,0
PointY,0
ReportX,0
ReportY,0
PointConfidence,0
RawPressure,0
MappedPressure,0
PeakTx1,0
PeakTx2,0
Tx1X,0
Tx1Y,0
Tx2X,0
Tx2Y,0
TiltValid,0
PreTiltX,0
PreTiltY,0
TiltX,0
TiltY,0
TiltMagnitude,0
TiltAzimuthDeg,0
PacketValid,0
PacketHex,00 00 00 00 00 00 00 00 00 00 00 00 00

--- Heatmap (40 rows x 60 cols) ---
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
